date,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
2024-03-21,antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,2095,9,19,1,2,2,4,3,6,5,0,2,2,3,16.1
2024-03-21,vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,LOSS,2333,7,16,1,5,1,2,4,10,6,0,1,1,2,16.1
2024-03-21,murraja01,Jamal Murray,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,2052,9,20,1,2,4,4,2,4,4,2,0,4,1,15.6
2024-03-21,johnsca02,Cameron Johnson,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,2106,6,13,4,9,1,1,2,6,4,0,0,1,0,15.3
2024-03-21,joneshe01,Herbert Jones,NEW ORLEANS PELICANS,AWAY,ORLANDO MAGIC,LOSS,1902,5,6,0,1,3,4,2,4,5,1,0,2,1,15.1
2024-03-21,sextoco01,Collin Sexton,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,2028,9,14,0,3,2,2,1,3,5,0,0,3,2,15.1
2024-03-21,suggsja01,Jalen Suggs,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1661,7,14,3,8,5,6,0,1,2,1,0,1,3,15.1
2024-03-21,monkma01,Malik Monk,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1769,6,13,1,7,7,7,0,1,4,1,1,2,3,14.9
2024-03-21,wagnefr01,Franz Wagner,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1654,7,13,2,5,2,2,0,3,3,1,0,0,2,14.9
2024-03-21,allengr01,Grayson Allen,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,2147,4,8,3,7,2,2,0,3,4,1,2,0,2,14.3
2024-03-21,capelca01,Clint Capela,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,1486,5,10,0,0,3,5,5,5,2,0,2,0,2,14.2
2024-03-21,holidaa01,Aaron Holiday,HOUSTON ROCKETS,HOME,CHICAGO BULLS,WIN,1104,5,6,3,4,2,2,1,2,1,1,0,1,2,14.0
2024-03-21,thompam01,Amen Thompson,HOUSTON ROCKETS,HOME,CHICAGO BULLS,WIN,1579,5,9,0,1,5,6,1,7,3,1,0,1,3,14.0
2024-03-21,gordoaa01,Aaron Gordon,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,2111,5,9,0,0,0,1,3,1,8,1,0,0,1,13.9
2024-03-21,lopezbr01,Brook Lopez,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1707,7,9,3,5,0,0,1,4,0,0,0,1,2,13.6
2024-03-21,thomaca02,Cam Thomas,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,2350,8,17,0,5,5,6,0,6,4,0,0,3,0,13.5
2024-03-21,markkla01,Lauri Markkanen,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,2147,6,20,1,9,8,8,0,3,2,2,0,0,1,13.3
2024-03-21,onealro01,Royce O'Neale,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,916,5,7,4,6,0,0,0,5,2,0,1,1,1,13.3
2024-03-21,kesslwa01,Walker Kessler,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1649,7,7,0,0,0,0,1,8,2,0,0,2,3,13.2
2024-03-21,irvinky01,Kyrie Irving,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,2077,7,19,2,8,0,0,1,4,7,2,0,1,1,12.9
2024-03-21,jonesde02,Derrick Jones,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,1467,4,4,0,0,4,6,0,4,2,0,1,0,1,12.9
2024-03-21,wagnemo01,Moritz Wagner,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,855,5,5,2,2,2,2,0,1,0,0,0,0,0,12.8
2024-03-21,beaslma01,Malik Beasley,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1855,5,10,2,7,4,4,1,5,0,0,0,0,2,12.4
2024-03-21,greenje02,Jeff Green,HOUSTON ROCKETS,HOME,CHICAGO BULLS,WIN,1648,5,8,3,6,1,2,2,5,0,0,1,0,3,12.4
2024-03-21,burksal01,Alec Burks,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,1233,5,11,3,6,5,7,0,5,1,2,0,3,1,12.3
2024-03-21,sabondo01,Domantas Sabonis,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,2317,6,9,0,0,2,2,2,12,6,0,0,6,3,12.1
2024-03-21,murrake02,Keegan Murray,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1773,7,11,2,4,0,0,1,1,1,0,2,1,3,12.0
